Videojuego,Genero,Precio_Lanzamiento_USD,Ventas_NA_Millones,Ventas_Europa_Millones,Ventas_Globales_Millones
God of War Ragnarök,RPG,49.99,1.7,1.79,17
God of War,Simulación,49.99,9.07,4.32,10
Super Smash Bros. Ultimate,RPG,59.99,6.99,1.8,82.74
Call of Duty: Black Ops II,Lucha,59.99,1.5,9.14,22.72
FIFA 19,Shooter,34.99,3.5,2,18.98
The Legend of Zelda: Breath of the Wild,Carreras,49.99,1.88,3.1,17.33
Animal Crossing: Wild World,Deportes,89.99,6.16,1.9,24.24
The Elder Scrolls V: Skyrim,Deportes,59.99,9.43,3.2,16.22
Wii Sports Resort,Deportes,69.99,3.5,5.26,23
New Super Mario Bros.,RPG,34.99,4.67,1.91,17.67
Super Mario Galaxy,Party,59.99,9.3,4.05,16.45
NBA 2K16,Deportes,49.99,6.85,4.2,12.14
Pokemon Red/Blue,Puzzle,49.99,1.87,1.8,23
Super Mario 64,Carreras,59.99,6.43,0.4,14.69
Mario Kart DS,Lucha,59.99,2.1,1.2,17
FIFA 20,RPG,59.99,8.94,9.14,26.74
Final Fantasy XV,Lucha,49.99,9.77,5.26,37.38
Tekken 3,RPG,49.99,9.07,0.4,8.49
Resident Evil Village,Lucha,49.99,3.1,1.12,14
Final Fantasy XII,Carreras,39.99,2.91,6.45,27.65
Tekken 7,Shooter,59.99,2.9,1.14,23.42
Wii Sports,RPG,49.99,4.5,2.1,14.1
The Sims 2,Aventura,59.99,4.46,1.8,22.72
Monster Hunter Rise,Horror,49.99,5,2.4,17.33
Monster Hunter Rise,Shooter,34.99,26.93,3.2,20.61
Super Mario Odyssey,Carreras,59.99,2.8,1.53,11
Super Smash Bros. Ultimate,RPG,59.99,2.8,4.32,15
Super Mario Galaxy 2,RPG,39.99,3.5,29.02,10.85
Pokemon Red/Blue,Shooter,59.99,2.51,5.49,5.22
Need for Speed Carbon,RPG,59.99,4.47,1.8,8.05
The Elder Scrolls V: Skyrim,Shooter,49.99,14.59,2.8,5.22
Mario Kart DS,Shooter,59.99,7.25,1.88,23
Final Fantasy VII,Carreras,59.99,6.43,1.54,15
The Elder Scrolls V: Skyrim,Plataformas,39.99,2.5,1.15,13.2
The Sims,Carreras,59.99,2.5,3.68,28.31
The Legend of Zelda: Breath of the Wild,Shooter,59.99,12.78,9.14,27.65
Wii Sports,Acción,59.99,8.52,8.89,4.5
NBA 2K16,RPG,49.99,8.5,1.54,26.74
Red Dead Redemption 2,Simulación,59.99,2.51,5.44,16.15
Call of Duty: Black Ops II,Shooter,49.99,15.85,2.9,13
Final Fantasy XV,Simulación,39.99,2.8,5.26,10.02
The Last of Us Part II,Carreras,59.99,1.7,1.8,10.85
Mario Kart Wii,Carreras,59.99,4,5.26,7.6
Street Fighter IV,Plataformas,59.99,4.47,3.26,22.72
Mario Kart 8,Deportes,19.99,2.8,1.56,7.41
Resident Evil 6,Deportes,24.99,15.75,2.11,8.85
Need for Speed Most Wanted,RPG,49.99,5.38,2,20
Gran Turismo 6,Aventura,59.99,6.9,9.27,17.67
Final Fantasy XV,Lucha,34.99,2.5,2.07,20.61
Call of Duty: Black Ops,Deportes,49.99,9.77,3.63,7.6
The Elder Scrolls V: Skyrim,Party,59.99,1.88,2.08,25
Mario Kart 8 Deluxe,RPG,49.99,7.01,2.08,9.41
The Sims,Deportes,59.99,9,2.11,12.78
The Last of Us,Horror,59.99,4.34,3.5,7
Pokemon Black/White,Lucha,49.99,3.2,2.8,8.05
Tekken 7,Carreras,39.99,3.75,12.88,13.1
The Sims,RPG,59.99,4.22,4.88,8
Need for Speed Carbon,RPG,59.99,8.52,1,11.66
Call of Duty 4: Modern Warfare,Plataformas,49.99,12.78,7.57,30.01
Resident Evil 7,Aventura,49.99,6.73,7.57,26.74
Gran Turismo 4,RPG,49.99,4.46,3.38,23
The Legend of Zelda: Breath of the Wild,Shooter,49.99,7.01,2.1,27.65
Super Mario Odyssey,Acción,49.99,3.75,2.5,10.85
Pokemon Gold/Silver,Deportes,49.99,9.09,1.8,5.22
Call of Duty: Ghosts,Party,59.99,11.27,3.2,14.1
God of War,Carreras,49.99,4.5,3.1,15
Need for Speed Underground,Aventura,59.99,8.52,2.1,20.61
The Sims 2,Carreras,59.99,5,1.88,65
Grand Theft Auto V,Carreras,49.99,9.09,11,10
Final Fantasy XV,Simulación,49.99,8.41,5.42,9.31
Duck Hunt,Deportes,49.99,5.38,6.05,10
Final Fantasy XV,Shooter,59.99,3.1,9.27,23.1
Pokemon Black/White,RPG,49.99,7.25,4.5,20
The Legend of Zelda: Breath of the Wild,RPG,39.99,4.5,3.58,14.69
Resident Evil Village,Arcade,59.99,4,1.2,9.31
The Legend of Zelda: Ocarina of Time,Deportes,49.99,8.27,3.1,12.13
Super Smash Bros. Ultimate,Deportes,24.99,6.73,2,14.76
The Last of Us Part II,Carreras,59.99,6.56,3.4,14.82
Cyberpunk 2077,Lucha,24.99,15.75,6.05,11
Final Fantasy VIII,Shooter,49.99,3.75,1.4,15
Call of Duty 4: Modern Warfare,Shooter,49.99,1.87,6.05,33
Tekken 7,Shooter,59.99,6.42,3.3,10.65
Mario Kart 8,Carreras,49.99,6.16,1.88,14.1
The Last of Us Part II,Supervivencia,49.99,5.17,2,10
Wii Fit Plus,RPG,59.99,1.88,4.1,25
Pokemon Gold/Silver,Aventura,69.99,2.5,1.15,15
Gran Turismo 2,RPG,49.99,9.81,2.3,82.74
Grand Theft Auto V,Horror,49.99,7.25,11.01,15
Cyberpunk 2077,Party,69.99,29.08,2,18.98
The Sims,Carreras,49.99,5,2.85,22.72
Resident Evil 7,Plataformas,49.99,9.3,6.2,10
Monster Hunter Rise,Party,49.99,2.51,4.32,11.95
Gran Turismo 4,Aventura,39.99,5,2.85,30.01
Wii Play,Acción,59.99,5.17,1.88,18.98
Super Mario Odyssey,Acción,26.95,6.32,9.14,14.89
Halo 2,Shooter,49.99,3.34,1.63,14.82
FIFA 18,Acción,49.99,5.6,3.75,13.4
Grand Theft Auto III,Shooter,49.99,41.49,3.4,55.46
Halo 2,Horror,59.99,6.16,0.4,14.89
Pokemon Black/White,Lucha,49.99,2.8,4.32,10
Wii Fit Plus,RPG,59.99,3.5,3.4,11.91
Mario Kart DS,Deportes,59.99,8.41,4,15.64
Super Mario 64,RPG,49.99,3.54,3.5,10.6
Duck Hunt,Carreras,39.99,12.78,2.4,65
Wii Play,RPG,49.99,15.85,3.02,11.66
Pokemon HeartGold/SoulSilver,Deportes,39.99,2.28,3.8,9.37
Grand Theft Auto: Vice City,Acción,39.99,8.5,4.6,16.15
God of War Ragnarök,Carreras,89.99,2.5,3.5,26
Super Mario Bros.,Simulación,59.99,5.57,7.57,10.85
Pokemon Diamond/Pearl,Horror,49.99,3.5,4.5,10
The Legend of Zelda: Tears of the Kingdom,RPG,59.99,6.56,1.88,11
NBA 2K18,RPG,34.99,1.7,11.01,23
Final Fantasy VIII,Puzzle,59.99,9.81,4.3,7
Need for Speed Underground,RPG,49.99,9.07,2.9,7.07
Pokemon Black/White,RPG,59.99,4.67,2.4,10
The Legend of Zelda: Breath of the Wild,Shooter,49.99,3.81,1.15,13.2
The Legend of Zelda: Ocarina of Time,Shooter,39.99,1.5,1,16.45
Need for Speed Underground,Plataformas,59.99,5.17,5.1,10
NBA 2K16,Aventura,69.99,15.85,5.1,28.31
NBA 2K18,Acción,59.99,2.1,3.68,26
Street Fighter IV,Plataformas,59.99,2.97,6.18,14.76
Red Dead Redemption,Plataformas,49.99,9.3,4.2,6
God of War,RPG,39.99,3.34,4.88,40.24
The Witcher 3,Lucha,26.95,2.7,2.2,9.31
Call of Duty: Modern Warfare 2,RPG,49.99,8.52,1.2,15
Pokemon Black/White,RPG,49.99,3.34,9.27,8.85
Need for Speed Most Wanted,Lucha,39.99,4.67,5.44,17
Super Mario Galaxy 2,Horror,49.99,5.17,0.4,22
The Elder Scrolls V: Skyrim,Party,59.99,2.28,9.14,46.45
Gran Turismo,Carreras,49.99,8.27,1.4,25
Pokemon X/Y,Simulación,59.99,2.1,4.2,18.98
Need for Speed Most Wanted,Deportes,39.99,2.9,3.9,7
Need for Speed Carbon,Carreras,49.99,2.9,2.4,13.53
Pokemon Diamond/Pearl,Plataformas,49.99,1.7,2.07,6.3
The Last of Us,RPG,59.99,11.27,2.5,55.46
The Witcher 3,RPG,59.99,6.91,3.2,22.72
Street Fighter II,Lucha,49.99,5.38,3.1,16.45
Grand Theft Auto III,Horror,59.99,2.5,2.07,10
Gran Turismo 4,Lucha,49.99,4.5,4.51,13.3
Gran Turismo 6,Carreras,26.95,3.5,2,37.38
Final Fantasy XII,Shooter,59.99,12.78,4.3,7
Mario Kart Wii,Supervivencia,49.99,4.56,2.1,8.05
Call of Duty 4: Modern Warfare,Carreras,59.99,2.51,1.53,15
The Sims,Shooter,59.99,9.07,0.4,20
Call of Duty: Modern Warfare 3,Plataformas,59.99,2.9,11.01,9.31
Call of Duty 4: Modern Warfare,Carreras,49.99,9.43,2.11,24.24
Pokemon X/Y,Simulación,49.99,29.08,2,10
Super Mario Bros. 3,Deportes,59.99,14.59,1,20.32
Mario Party DS,Simulación,59.99,5,1.2,20.61
Pokemon Black/White,RPG,59.99,9.81,1.53,12.14
The Sims 3,Party,59.99,2.8,2,26
Wii Sports,RPG,59.99,8.5,1.9,13.3
Call of Duty: Modern Warfare 2,Acción,59.99,5.17,3.38,65
Wii Play,Shooter,59.99,41.49,2.1,17.33
Gran Turismo,Arcade,59.99,6.43,9.14,14.69
Call of Duty: Black Ops,Acción,39.99,4.46,6.05,13.4
Super Smash Bros. Brawl,Plataformas,59.99,2.1,3.5,9.31
Gran Turismo 3,Supervivencia,49.99,5.57,1.56,17
Super Smash Bros. Melee,Deportes,59.99,6.43,3.9,40.24
Final Fantasy VIII,Shooter,49.99,29.08,9.14,16.45
The Legend of Zelda: Twilight Princess,Aventura,59.99,9.09,2.8,14.76
The Sims 2,Simulación,49.99,8.41,1.63,13.4
Halo: Combat Evolved,Lucha,49.99,11.28,2.07,26
FIFA 21,Simulación,59.99,2.8,2.4,20.61
Cyberpunk 2077,Deportes,59.99,1.5,1.91,13.3
Gran Turismo 3,RPG,49.99,2.9,2,6
Final Fantasy XV,RPG,49.99,8.27,6.45,8
Call of Duty: Black Ops,Lucha,59.99,4.67,3.2,26
Animal Crossing: New Horizons,Simulación,49.99,5.17,6.18,23.42
Final Fantasy XV,RPG,49.99,11.27,4.29,6.3
Need for Speed Carbon,Carreras,49.99,9.07,11,11.66
Call of Duty: Black Ops II,Carreras,59.99,4.5,2.2,23.1
Super Smash Bros. Melee,Plataformas,49.99,6.56,4.6,14.82
Halo: Combat Evolved,Arcade,59.99,41.49,2.65,23
Grand Theft Auto V,Simulación,49.99,1.8,1.15,23
Super Mario Bros. 3,Shooter,59.99,1.7,2.85,14.69
Gran Turismo,Simulación,49.99,5.17,3.75,16.45
Pokemon Ruby/Sapphire,Acción,49.99,2.9,12.88,8.85
Mario Kart DS,Acción,49.99,2.1,4.5,13.53
The Legend of Zelda: Ocarina of Time,Aventura,59.99,2.1,4,9.31
Final Fantasy XII,Simulación,59.99,9.77,3.2,9.37
Pokemon Ruby/Sapphire,RPG,49.99,3.2,3.2,25
NBA 2K16,Simulación,49.99,5.17,4.51,20.32
Tekken 7,Aventura,49.99,2.8,2.71,14.82
Red Dead Redemption 2,Plataformas,49.99,3.5,4.32,12.14
FIFA 20,Acción,49.99,4.52,5.42,17.33
The Legend of Zelda: Twilight Princess,RPG,59.99,5.38,3.91,6
Wii Fit Plus,Carreras,59.99,8.94,5.1,14.82
Wii Sports Resort,Shooter,59.99,6.73,2.85,22.72
FIFA 20,RPG,49.99,7.25,1,13.46
NBA 2K16,Lucha,24.99,3.5,2.11,20
Monster Hunter Rise,Acción,49.99,4.12,3.3,20
Mario Kart DS,Acción,59.99,3.56,4,15
Call of Duty 4: Modern Warfare,Acción,39.99,5.17,1.14,26.74
Pokemon Red/Blue,Lucha,49.99,3.5,6.95,46.45
New Super Mario Bros.,Horror,39.99,2,1.4,17.33
Call of Duty: Modern Warfare 3,Shooter,49.99,2.1,4,6
Gran Turismo 2,RPG,59.99,5,8.89,13.4
Wii Play,Plataformas,59.99,7.01,2.2,10
The Witcher 3,Carreras,49.99,2.8,3.5,13.1
The Legend of Zelda: Tears of the Kingdom,Acción,49.99,6.42,2,10
Call of Duty: Black Ops II,RPG,49.99,9.43,4.29,5.22
Red Dead Redemption 2,Acción,59.99,15.75,1.79,15
Super Smash Bros. Brawl,RPG,49.99,9.44,2.8,17.28
Pokemon Ruby/Sapphire,Lucha,49.99,6.32,2.11,5.22
Pokemon Red/Blue,Deportes,49.99,3.99,3.48,12.13
New Super Mario Bros.,RPG,49.99,8.41,1.79,10.65
The Sims,Lucha,59.99,2.2,6.2,6.3
Pokemon Gold/Silver,Shooter,49.99,3.75,1.8,24.24
Final Fantasy VIII,RPG,59.99,7.97,2.5,10
Super Mario Galaxy 2,Plataformas,59.99,7.01,3.58,11.95
Tekken 7,Carreras,19.99,5.17,11.01,17.33
Wii Play,Plataformas,49.99,2.8,1.2,29.02
Need for Speed Most Wanted,RPG,39.99,6.16,2.2,6.3
Resident Evil 6,Simulación,59.99,8.27,5.26,14.76
The Legend of Zelda: Breath of the Wild,Arcade,49.99,5.17,3.1,8.49
Grand Theft Auto: Vice City,Plataformas,59.99,4.34,1.63,29.02
Portal 2,Horror,59.99,9.44,3.75,8
Pokemon Diamond/Pearl,RPG,59.99,5.57,3.4,23
Halo 2,Simulación,49.99,6.42,4.05,20
Super Mario Odyssey,Deportes,59.99,2.2,3.58,18.98
The Elder Scrolls V: Skyrim,RPG,59.99,7.97,5.1,16.15
Mario Kart 8 Deluxe,RPG,59.99,7.97,3.02,5.22
Mario Party DS,Plataformas,24.99,1.88,2.65,11.95
Wii Sports,Aventura,59.99,6.91,3.02,13.3
Call of Duty: Modern Warfare 2,Deportes,59.99,9.81,29.02,23
Pokemon Gold/Silver,Plataformas,34.99,3.5,1.14,12.13
Mario Kart 8 Deluxe,Acción,59.99,11.28,6.2,20.61
The Sims 2,Simulación,59.99,3.96,1.88,17.67
Mario Kart 7,Deportes,19.99,8.27,1.15,26
Wii Sports,Puzzle,49.99,6.99,4.28,23
Pokemon Gold/Silver,Deportes,49.99,11.27,8.59,13
Red Dead Redemption,Simulación,59.99,2.7,2.5,10.85
Call of Duty: Ghosts,Aventura,59.99,6.56,2.4,31.38
Halo 4,Acción,59.99,5.57,3.4,10
Mario Kart Wii,Carreras,59.99,4,8.89,12.13
Pokemon Sun/Moon,Supervivencia,59.99,15.75,1.4,6
Mario Kart 8 Deluxe,Shooter,49.99,3.99,4.1,22
The Legend of Zelda: Twilight Princess,RPG,49.99,6.82,3.1,13.1
God of War Ragnarök,Deportes,49.99,3.8,3.48,11
Super Smash Bros. Melee,Shooter,49.99,8.94,2.65,4.5
Halo 3,Shooter,59.99,2.5,3.9,8.5
Mario Party Superstars,RPG,59.99,5.1,3.3,24.24
The Last of Us,Deportes,49.99,2.8,3.1,5.22
Call of Duty: Black Ops II,Carreras,59.99,4,3.2,12.13
Minecraft,Lucha,59.99,5.57,4.28,8.05
Pokemon X/Y,Acción,59.99,9.09,1.53,11.66
Gran Turismo 4,Plataformas,39.99,5.57,7.57,12.14
Call of Duty: Modern Warfare 3,Simulación,59.99,6.9,2.07,14.76
FIFA 18,Plataformas,59.99,2.7,1.8,13.53
Halo: Combat Evolved,Horror,19.99,1.8,1.2,6.3
The Sims 2,Shooter,49.99,5,4.05,29.02
Resident Evil 5,Carreras,59.99,2.97,3.63,28.31
Pokemon Sun/Moon,Acción,59.99,4.46,3.2,27.65
Minecraft,RPG,59.99,2.2,1.8,10
Street Fighter II,Deportes,59.99,7.25,3.2,6
Pokemon Sun/Moon,Carreras,26.95,2.2,12.88,14.89
Call of Duty: Modern Warfare 3,Plataformas,59.99,3.75,4.6,10
FIFA 20,Shooter,59.99,3.5,4.32,23.1
Halo 4,Carreras,49.99,4.22,4.29,14.69
Pokemon Red/Blue,Shooter,59.99,5.57,1.91,28.62
Halo 2,Shooter,59.99,4,3.2,8.5
Halo 3,Carreras,49.99,4.52,11.01,8.5
The Sims 2,Shooter,24.99,9,4.3,14.82
Resident Evil Village,Lucha,39.99,8.5,3.48,13.1
Grand Theft Auto: San Andreas,Carreras,49.99,2.55,3.48,16.22
Mario Party DS,Simulación,49.99,3.5,2.1,11
Gran Turismo 5,RPG,49.99,4.67,6.18,9.41
Pokemon Red/Blue,Carreras,49.99,9.54,2,8.3
Pokemon Ruby/Sapphire,Party,39.99,5.38,4.28,33
Wii Fit Plus,Plataformas,49.99,1.87,6.2,10.6
Mario Kart Wii,Lucha,59.99,5.57,2.1,17
FIFA 18,Shooter,59.99,29.08,4.88,10.65
Duck Hunt,Deportes,59.99,14.59,4.05,15
Wii Sports,Acción,49.99,2.1,5.42,14.1
FIFA 20,Carreras,59.99,2.97,1.35,8.3
Grand Theft Auto V,RPG,59.99,8.27,8.89,14
Animal Crossing: New Horizons,Aventura,49.99,9.77,2,14.76
Wii Sports Resort,Carreras,26.95,15.75,11,24.24
Mario Party DS,RPG,59.99,1.5,3.5,14.89
Pokemon Gold/Silver,RPG,39.99,9.81,1.56,16.45
Resident Evil 7,Party,49.99,2.5,0.63,8.85
Final Fantasy VII,Arcade,49.99,9.3,3.2,16.5
Halo: Combat Evolved,Plataformas,59.99,2.51,3.4,27.65
Call of Duty: Modern Warfare 3,Deportes,34.99,6.73,3.58,27.65
Duck Hunt,Deportes,34.99,2.55,1.56,12.72
Gran Turismo,Acción,59.99,15.75,3.1,6.3
The Elder Scrolls V: Skyrim,Carreras,59.99,4.34,2.07,11.66
Gran Turismo 4,Carreras,59.99,6.73,1.8,10
Resident Evil 5,Lucha,59.99,6.73,1.35,23.1
Mario Party Superstars,RPG,89.99,9.43,2,9.37
Halo 2,Lucha,89.99,2,3.4,17.28
Wii Sports,Plataformas,49.99,6.16,3.2,16.22
Call of Duty: Modern Warfare 2,Party,39.99,7.25,6.95,55.46
The Sims,Carreras,59.99,3.56,3.48,20.61
The Last of Us Part II,Simulación,39.99,2.9,4.32,7.41
Gran Turismo 6,Shooter,59.99,2.51,1.8,13.46
The Legend of Zelda: Tears of the Kingdom,Party,49.99,5.57,5.1,12
Mario Kart 7,Shooter,59.99,5.17,2.9,11
Need for Speed Most Wanted,Party,39.99,5.17,4.2,82.74
Tekken 7,Deportes,49.99,26.93,8.03,11.95
Cyberpunk 2077,Shooter,59.99,2.97,8.59,8.05
The Sims,Plataformas,59.99,15.85,4.2,12.78
Call of Duty 4: Modern Warfare,RPG,49.99,5,2.4,12.14
Call of Duty: Black Ops,Acción,49.99,8.41,12.88,7.07
Call of Duty: Modern Warfare 3,Shooter,29.99,5.57,3.63,12.78
FIFA 18,Carreras,34.99,2.5,1.15,29.02
God of War Ragnarök,Shooter,39.99,3.54,2.71,12.78
The Legend of Zelda: Tears of the Kingdom,Acción,49.99,3.5,7.06,14.82
NBA 2K18,RPG,49.99,4.34,2,7.41
Gran Turismo 5,RPG,59.99,2.1,0.4,16.5
Need for Speed Carbon,Carreras,59.99,11.27,2.71,20.61
The Witcher 3,Acción,39.99,5.17,29.02,15
New Super Mario Bros. Wii,Carreras,49.99,4.56,4.88,22.72
Super Mario 64,Simulación,59.99,3.5,4.1,14.1
Monster Hunter Rise,Carreras,34.99,1.8,2.3,10
Animal Crossing: New Horizons,Acción,59.99,4.47,1.88,5.22
Super Mario World,Carreras,59.99,15.75,5.49,26
Pokemon Ruby/Sapphire,Aventura,59.99,1.2,4.32,82.74
God of War,Acción,59.99,14.03,5.49,17.67
Super Smash Bros. Brawl,Plataformas,49.99,3.34,3.5,20.32
Pokemon Gold/Silver,Plataformas,49.99,1.7,0.63,9.37
Gran Turismo 5,Deportes,59.99,2.8,5.44,8.15
Call of Duty 4: Modern Warfare,RPG,49.99,6.43,2.9,16
Grand Theft Auto III,Simulación,49.99,4.2,1.5,12.78
Red Dead Redemption 2,Acción,59.99,4.52,1.79,16.5
Mario Kart 8 Deluxe,RPG,59.99,2.88,3.1,23
Final Fantasy VIII,RPG,49.99,8.94,1.63,10
Pokemon Ruby/Sapphire,Plataformas,59.99,3.34,1.56,8.3
Animal Crossing: Wild World,Shooter,49.99,2.2,2.3,33
New Super Mario Bros. Wii,Plataformas,59.99,6.9,8.03,33
The Sims 2,Acción,59.99,3.34,4.3,7.41
Mario Kart Wii,RPG,59.99,6.42,3.3,6.3
Monster Hunter Rise,RPG,59.99,14.03,1.2,13.1
Pokemon Black/White,Shooter,59.99,2.1,4,4.5
Super Mario Galaxy 2,Deportes,49.99,6.82,1.53,17.28
Super Mario Bros.,Carreras,59.99,9.07,0.63,12.14
Resident Evil 7,Carreras,39.99,2.1,3.4,16.22
Mario Kart 7,Acción,49.99,3.5,5.44,8.05
Final Fantasy XII,Lucha,69.99,5.38,3.9,13.4
Monster Hunter World,Carreras,59.99,1.2,3.5,26
Mario Party Superstars,Deportes,49.99,15.75,3.91,7.07
Resident Evil 7,Deportes,59.99,9.07,1.2,14.76
Pokemon Diamond/Pearl,Horror,59.99,6.73,1.14,16.15
Monster Hunter Rise,Simulación,59.99,1.88,6.45,11
Animal Crossing: Wild World,Lucha,39.99,9.09,1.15,9.41
Pokemon Ruby/Sapphire,Carreras,49.99,15.75,1.12,24.24
Wii Fit,Plataformas,59.99,1.7,2.5,12.13
Need for Speed Most Wanted,RPG,39.99,1.2,3.5,8.05
Super Mario World,Aventura,39.99,1.7,2.2,37.38
Gran Turismo 4,Carreras,49.99,4.56,1.8,7.07
The Elder Scrolls V: Skyrim,Carreras,49.99,6.9,1.53,11.95
Wii Fit,Deportes,49.99,2.97,11.01,5.22
Tekken 7,Acción,49.99,8.5,7.57,13
Super Mario World,Simulación,49.99,3.5,3.75,8.49
Final Fantasy XV,Deportes,26.95,5.57,1.91,12.14
Resident Evil 6,Lucha,34.99,9.07,3.48,5.22
Wii Play,Carreras,49.99,2.5,5.1,17.33
Super Mario Bros. 3,Simulación,59.99,6.73,4.6,9.31
Super Smash Bros. Brawl,Horror,59.99,2.1,1.63,12
Red Dead Redemption,Acción,49.99,7.25,1.12,13.1
Wii Fit,Plataformas,34.99,3.5,9.14,15
Cyberpunk 2077,RPG,59.99,11.27,2.71,13.46
Call of Duty: Black Ops II,Aventura,59.99,1.88,4.52,16.5
Wii Sports,RPG,49.99,5.38,2.4,11.66
FIFA 19,Acción,59.99,7.97,4.2,36.44
Super Mario Bros.,Carreras,49.99,8.27,4.3,33
God of War Ragnarök,Arcade,59.99,2.1,2.5,22
Cyberpunk 2077,RPG,49.99,6.32,1.53,14.76
Gran Turismo 2,Shooter,59.99,3.5,2.65,18.98
Gran Turismo 3,Deportes,49.99,6.56,1,11
Super Mario Galaxy 2,Shooter,49.99,11.27,0.63,16.22
Wii Fit,Carreras,34.99,4.5,3.38,12.78
Gran Turismo 2,Deportes,59.99,7.01,8.59,28.62
Need for Speed Most Wanted,Lucha,49.99,6.73,1.53,33
Nintendogs,Deportes,49.99,4.12,3.3,26
Need for Speed Underground,Plataformas,39.99,4.2,0.4,26.74
Mario Kart 8 Deluxe,Lucha,59.99,2,3.4,6
The Last of Us Part II,Puzzle,59.99,6.56,2.3,20.32
Mario Kart 7,RPG,59.99,2.5,3.1,20.61
Final Fantasy VII,Shooter,49.99,5.17,2,13.2
Grand Theft Auto V,Acción,59.99,4,4,29.02
Call of Duty: Ghosts,Shooter,34.99,5.17,2.2,33
Monster Hunter World,Shooter,59.99,11.28,2.71,16.22
New Super Mario Bros.,Puzzle,49.99,7.25,3.2,40.24
The Legend of Zelda: Breath of the Wild,Deportes,69.99,7.97,2.2,10
Gran Turismo 4,Plataformas,26.95,9.77,1.2,8
Wii Fit Plus,Lucha,59.99,6.16,2.71,29.02
Call of Duty 4: Modern Warfare,Plataformas,59.99,5.17,4.5,46.45
Pokemon Black/White,Lucha,39.99,11.27,5.26,10
Final Fantasy XIII,Carreras,49.99,4.46,3.9,21
Portal 2,Shooter,59.99,3.34,2.2,24.24
Mario Party 8,Deportes,49.99,4.34,3.68,13
Grand Theft Auto V,RPG,49.99,2.97,3.75,40.24
Super Mario Bros.,RPG,39.99,3.99,1.89,8.5
New Super Mario Bros.,Acción,69.99,3.8,1.9,6
Gran Turismo 4,Acción,39.99,7.25,3.91,14.69
Mario Party DS,RPG,59.99,4.22,3.26,82.74
The Elder Scrolls V: Skyrim,Carreras,49.99,2.55,3.26,5.22
Mario Party Superstars,Lucha,59.99,2.2,9.14,28.31
The Sims 3,Simulación,49.99,9.77,3.63,11.95
Mario Party 8,Deportes,59.99,1.7,1.12,10
Call of Duty: Black Ops,Carreras,59.99,2.2,4.28,13.46
Gran Turismo 6,Carreras,59.99,41.49,3.2,16.5
Gran Turismo 6,RPG,59.99,4.67,0.63,17
Grand Theft Auto V,RPG,49.99,6.82,5.26,17
God of War Ragnarök,Carreras,39.99,2.2,1.53,23.1
The Last of Us,Aventura,39.99,3.96,1.15,14.76
Super Mario Odyssey,Aventura,49.99,3.81,2.4,6
Street Fighter IV,Lucha,59.99,4.52,3.2,17.67
Final Fantasy XV,RPG,59.99,12.78,1.79,7.07
The Last of Us Part II,Plataformas,59.99,2.1,1.8,46.45
Monster Hunter World,Deportes,49.99,4,2.5,8.3
Tekken 3,Lucha,26.95,3.8,9.27,10
Gran Turismo,Deportes,49.99,4.52,1.89,16.22
Call of Duty: Black Ops II,RPG,59.99,5,4.28,23
Street Fighter IV,Plataformas,49.99,5.6,1.91,16.15
Resident Evil Village,Lucha,59.99,6.42,3.48,12.14
The Witcher 3,RPG,49.99,6.85,5.49,20
Super Mario World,Shooter,59.99,4.47,4.28,6.3
Mario Kart 8 Deluxe,Aventura,59.99,8.27,2,23
FIFA 19,Deportes,59.99,4.52,3.4,13.3
Red Dead Redemption 2,Carreras,49.99,2.1,0.4,26
FIFA 21,Plataformas,49.99,1.5,1.9,27.65
Super Mario Bros.,Shooter,59.99,9,1.9,15
Wii Sports Resort,Shooter,49.99,4.34,2,18.98
Super Smash Bros. Brawl,RPG,59.99,3.99,1.8,26
Pokemon HeartGold/SoulSilver,RPG,59.99,3.56,3.2,17.28
The Last of Us,Acción,49.99,2.8,3.68,11
The Legend of Zelda: Ocarina of Time,Plataformas,39.99,8.27,3.63,27.65
Mario Kart 8,RPG,59.99,11.28,2.3,8
FIFA 20,Puzzle,59.99,2.51,4.32,22.72
Nintendogs,RPG,59.99,3.54,3.3,12.14
Tekken 7,Plataformas,39.99,7.01,2,8.5
Need for Speed Underground,Plataformas,49.99,5.6,2.4,31.38
Final Fantasy XII,Acción,49.99,29.08,1.88,13.46
Super Mario Odyssey,Simulación,49.99,14.03,2,28.31
Mario Kart 7,RPG,59.99,5.17,4.2,16.45
Resident Evil 5,Carreras,59.99,8.5,2.08,27.65
Halo 3,Acción,39.99,5.57,29.02,5.22
Super Mario World,RPG,49.99,9.77,1.12,14.82
Pokemon HeartGold/SoulSilver,Deportes,89.99,14.03,4.32,9.31
NBA 2K18,Plataformas,59.99,1.7,2.1,18.98
Call of Duty: Black Ops II,Simulación,49.99,6.16,9.2,20
Super Mario Bros. 3,Acción,49.99,9,3.2,7
Resident Evil 5,Lucha,39.99,6.32,3.1,17
Grand Theft Auto: San Andreas,Carreras,49.99,1.8,1.89,17.33
FIFA 18,Lucha,24.99,8.27,4.6,30.01
The Sims,Lucha,49.99,4.2,4.3,7
The Witcher 3,Acción,49.99,9.77,5.42,14.1
FIFA 18,Shooter,59.99,7.01,2,8.3
Call of Duty: Modern Warfare 3,Acción,39.99,8.27,9.2,13.1
Grand Theft Auto III,Simulación,39.99,5.17,3.5,8.05
Pokemon Black/White,Puzzle,49.99,8.94,4,30.01
